title,description,uuid,date_created
DMH_213Stories_DEGARI_SemanticAnnotator,DMH: Narratives 213 stories from VR Museum (Helsinki) about design objects from workshop participants, classified by DEGARI (UNITO), Semantic Annotator (H-FARM), Plutchik and senticNET7 API,46ed6774-8af7-468c-b6a8-a0544d0b1ad2,2022-10-08 14:09:32
DMH - Pop-up_VR_Museum - Objects classification,Classification of all objects from Design Museum Helsinki's permanent collection that are currently in the Pop-up VR Museum. The information about these objects is stored in this dataset in Finnish, Swedish, and English.,d0e35505-4628-459d-bad7-d6df57eff61e,2022-10-11 10:43:53
DMH_91Stories_DEGARI_SemanticAnnotator,DMH: Narratives 91 stories from VR Museum (Helsinki) about design objects from workshop participants, classified by DEGARI (UNITO), Semantic Annotator by H-FARM, Putchik and SenticNET7 API.,1396cecb-c11b-4f73-9b2c-7d4b01891c44,2022-10-14 16:44:12
DMH - Pop_up_VR_Museum - Objects classification - English,Classification of all objects from Design Museum Helsinki's permanent collection that are currently in the Pop-up VR Museum. The information about these objects is stored in this dataset in English.,0daa0287-d7f4-4f03-a068-95f43afcc347,2022-10-18 22:15:20
GAM_Catalogue_plus,GAM Museum catalogue (version 24/10/2022) enriched with information on iconclass concepts and curators' notes on materials, artistic techniques, authors and their artistic movements,2a2a5c9a-a8ce-4977-ba09-f4134c95d744,2022-10-24 10:52:31
GAM_Artists,Artists and artworks with extracted emotions/sentiments o biography,ab3a933f-e3ab-47d2-8ffe-222ae641bce0,2022-10-24 11:33:31
GAMGame_stories_RN_UNITO,Users created stories from GAMGame app (version 24/10/2022). This dataset contains GAMGame stories collected during the researchers night UNITO on 01/10/2022,d305a5e7-fc51-4b1d-9e05-fa7191d5bebd,2022-10-24 13:59:16
Hecht_DEGARI_emotions,To test various items before entering real data enriched with DEGARI extracted emotions (v. 28/10/2022),13d66535-841a-45a2-b68f-7b10ada1c3d3,2022-10-28 14:00:54
GAMGame - information on registered users,GAMGame - information on GAMGame registered users from the experiment collected from 01/10/2022 to 10/11/2022,495778c1-2509-4a9c-be15-fb0b2e9afc08,2022-11-08 11:54:53
DMH - Pop-up_VR_Museum - Written Stories,The dataset contains written stories of 1-4 sentences of design objects in the Pop-up VR Museum. Translations are available at least in Finnish, English, and Swedish.,6eadb144-86e3-4617-998f-8cff93ca64a0,2022-11-09 20:51:28
